building_id,location_rating_MIKRAT_W,location_rating_IMAGE_W,location_rating_FZ_W,location_rating_DL_W,location_rating_NASE_W_DOM,location_rating_FGFRQZ
3076,3.6,3.0,3.9,1.1,3.0,1.0
1175,4.0,4.0,4.0,2.1,9.0,1.0
6571,3.9,4.0,2.0,3.0,9.0,2.0
2492,2.5,1.2,3.1,3.0,1.0,1.0
1240,3.0,1.2,4.1,4.0,1.0,1.0
5722,3.2,3.0,3.0,2.0,9.0,1.0
1658,3.6,4.1,3.1,4.9,9.0,3.0
1994,4.1,3.0,4.0,4.0,,1.0
2414,2.6,1.2,4.0,2.0,4.0,1.0
689,3.0,1.2,4.0,5.0,2.0,1.0
2056,3.7,2.9,3.0,4.9,,1.0
1801,2.8,3.9,3.1,1.9,9.0,1.0
2917,3.5,4.0,4.9,5.0,9.0,4.0
1056,2.8,1.2,4.0,3.0,1.0,1.0
480,3.5,3.0,4.0,4.0,8.0,1.0
3093,4.4,4.0,4.9,4.0,8.0,1.0
7452,2.8,1.0,3.0,1.9,3.0,1.0
2173,3.4,3.0,4.0,4.0,9.0,1.0
1118,4.5,4.0,4.0,5.0,9.0,2.0
2508,2.8,1.1,3.9,4.0,1.0,1.0
1765,4.1,4.1,4.0,4.1,9.0,1.0
2421,2.8,1.1,4.0,2.0,2.0,1.0
2047,3.5,3.0,4.0,4.0,8.0,1.0
702,3.5,3.1,4.0,2.0,9.0,1.0
812,2.7,1.2,4.0,4.0,5.0,1.0
1826,3.5,3.0,4.0,4.1,9.0,1.0
7346,2.8,1.0,3.0,2.0,1.0,1.0
625,2.6,1.1,4.0,2.0,2.0,1.0
15939,3.5,1.1,4.0,5.0,1.0,1.0
1298,3.6,1.1,5.0,5.0,3.0,5.0
1121,3.7,4.0,4.1,5.0,9.0,1.0
1356,2.8,1.2,4.0,4.0,1.0,1.0
6128,3.2,4.0,3.0,5.0,9.0,3.0
6863,3.2,3.0,4.0,2.0,3.0,1.0
2111,3.4,3.1,3.0,3.0,3.0,1.0
7480,4.0,4.0,5.0,3.9,6.0,1.0
650,4.1,5.0,3.0,2.0,9.0,1.0
1288,3.9,4.1,4.0,2.1,8.0,1.0
3362,2.8,1.2,4.0,2.0,2.0,1.0
1730,2.5,1.1,3.0,2.0,1.0,1.0
18005,3.1,3.0,3.0,4.1,9.0,2.0
